gene	biotype	chr	start	end	strand
PAICS	protein_coding	4	56435741	56464579	+
KDR	protein_coding	4	55078259	55125595	-
PPAT	protein_coding	4	56393362	56435615	-
TUBGCP6	protein_coding	22	50217689	50244992	-
ADM2	protein_coding	22	50481556	50486440	+
DGCR6L	protein_coding	22	20314276	20320080	-
DGCR8	protein_coding	22	20080232	20111877	+
ASPHD2	protein_coding	22	26429273	26445015	+
VPREB3	protein_coding	22	23752743	23754468	-
SDF2L1	protein_coding	22	21642261	21644298	+
GAL3ST1	protein_coding	22	30554635	30574587	-
YWHAH	protein_coding	22	31944461	31957603	+
RFPL1	protein_coding	22	29438583	29442455	+
RFPL2	protein_coding	22	32190435	32203477	-
C22orf24	processed_transcript	22	31933521	31945518	-
POM121L9P	transcribed_unprocessed_pseudogene	22	24251828	24265525	+
GNAZ	protein_coding	22	23070361	23125037	+
MGAT3	protein_coding	22	39457344	39492194	+
ADORA2A	protein_coding	22	24417879	24442360	+
ATF4	protein_coding	22	39519695	39522685	+
A4GALT	protein_coding	22	42692112	42721298	-
RFPL3	protein_coding	22	32354885	32361161	+
CDC42EP1	protein_coding	22	37560447	37569405	+
APOL3	protein_coding	22	36140330	36166177	-
MCHR1	protein_coding	22	40678750	40682814	+
TPST2	protein_coding	22	26521983	26596717	-
BAIAP2L2	protein_coding	22	38084889	38110670	-
MPST	protein_coding	22	37019635	37029822	+
GALR3	protein_coding	22	37823382	37825495	+
TST	protein_coding	22	37010859	37020183	-
APOL5	protein_coding	22	35717872	35729483	+
IGLL1	protein_coding	22	23573125	23580308	-
APOL2	protein_coding	22	36226203	36239954	-
RAC2	protein_coding	22	37225261	37244448	-
LIF	protein_coding	22	30240447	30246851	-
C22orf23	protein_coding	22	37943050	37953669	-
APOBEC3A	protein_coding	22	38952741	38992778	+
APOBEC3F	protein_coding	22	39040604	39053910	+
RIBC2	protein_coding	22	45413691	45432496	+
KRT17	protein_coding	17	41619437	41624842	-
TBC1D27P	transcribed_unprocessed_pseudogene	17	16922915	16934839	-
EMC4	protein_coding	15	34224999	34230156	+
RNF112	protein_coding	17	19411125	19417276	+
SPECC1	protein_coding	17	20009344	20319026	+
CPA4	protein_coding	7	130293134	130324180	+
DOCK4	protein_coding	7	111726110	112206411	-
POT1	protein_coding	7	124822386	124929983	-
TAS2R16	protein_coding	7	122994704	122995700	-
ATP6V1F	protein_coding	7	128862826	128865844	+
LSM8	protein_coding	7	118184032	118192824	+
CDHR3	protein_coding	7	105876796	106033773	+
PRKRIP1	protein_coding	7	102363872	102426676	+
VGF	protein_coding	7	101162509	101165593	-
PODXL	protein_coding	7	131500262	131558217	-
FOXP2	protein_coding	7	114086327	114693772	+
STRIP2	protein_coding	7	129434433	129488399	+
IFT22	protein_coding	7	101313367	101321823	-
MKLN1	protein_coding	7	131110096	131496636	+
DNAJB9	protein_coding	7	108569568	108574850	+
FLNC	protein_coding	7	128830377	128859274	+
LRRC4	protein_coding	7	128027071	128032107	-
CALU	protein_coding	7	128739292	128771807	+
CCDC136	protein_coding	7	128790757	128822132	+
SMO	protein_coding	7	129188872	129213545	+
IRF5	protein_coding	7	128937612	128950035	+
LRRC17	protein_coding	7	102912991	102944949	+
KLHDC10	protein_coding	7	130070510	130135720	+
NDUFA5	protein_coding	7	123536997	123558255	-
FEZF1	protein_coding	7	122301394	122310691	-
OPN1SW	protein_coding	7	128772491	128775790	-
MRPS12	protein_coding	19	38930548	38933162	+
MYO1B	protein_coding	2	191245185	191425389	+
HOXD1	protein_coding	2	176188579	176190907	+
HOXD3	protein_coding	2	176136612	176173102	+
MTX2	protein_coding	2	176269395	176338025	+
PDE11A	protein_coding	2	177623252	178072755	-
CHN1	protein_coding	2	174799363	175005369	-
GAD1	protein_coding	2	170813213	170861151	+
EIF2S2P4	processed_pseudogene	2	170751805	170752788	+
OSGEPL1	protein_coding	2	189746660	189763227	-
ORMDL1	protein_coding	2	189770323	189784371	-
HAT1	protein_coding	2	171922448	171983682	+
HOXD9	protein_coding	2	176122720	176124937	+
HOXD10	protein_coding	2	176108790	176119942	+
HOXD11	protein_coding	2	176104216	176109754	+
HOXD13	protein_coding	2	176092891	176095938	+
HERC2	protein_coding	15	28111040	28322152	-
SNRPN	protein_coding	15	24823637	24978723	+
PSMG2	protein_coding	18	12658043	12725740	+
TWSG1	protein_coding	18	9334767	9402420	+
ARHGAP22	protein_coding	10	48446034	48656265	-
WDFY4	protein_coding	10	48684876	48982956	+
EIF2AK4	protein_coding	15	39934146	40035591	+
MYO5C	protein_coding	15	52192322	52295798	-
CGNL1	protein_coding	15	57375967	57550727	+
TMOD2	protein_coding	15	51751561	51816368	+
TTBK2	protein_coding	15	42738734	42920809	-
ELL3	protein_coding	15	43772600	43777543	-
CCDC32	protein_coding	15	40528683	40565057	-
INO80	protein_coding	15	40978880	41116354	-
ICE2	protein_coding	15	60419609	60479160	-
DLL4	protein_coding	15	40929340	40939072	+
ALDH1A2	protein_coding	15	57953424	58497866	-
MINDY2	protein_coding	15	58771192	58861900	+
IVD	protein_coding	15	40405795	40435947	+
KNSTRN	protein_coding	15	40382721	40394246	+
DUT	protein_coding	15	48331011	48343373	+
CHAC1	protein_coding	15	40952962	40956519	+
CLN6	protein_coding	15	68206992	68257211	-
ARPP19	protein_coding	15	52547045	52569883	-
VPS13C	protein_coding	15	61852389	62060473	-
CALML4	protein_coding	15	68190705	68206110	-
ISLR	protein_coding	15	74173671	74176872	+
THAP10	protein_coding	15	70881342	70892785	-
LOXL1	protein_coding	15	73925989	73952137	+
ACKR4	protein_coding	3	132597237	132618967	+
ANAPC13	protein_coding	3	134477706	134486716	-
MBD4	protein_coding	3	129430944	129440179	-
COPB1	protein_coding	11	14443440	14500027	-
PSMA1	protein_coding	11	14504874	14643635	-
SUMF2	protein_coding	7	56064002	56080670	+
PALLD	protein_coding	4	168497066	168928457	+
SPCS3	protein_coding	4	176319964	176332245	+
BBOX1	protein_coding	11	27040725	27127809	+
MYOD1	protein_coding	11	17719568	17722131	+
SERGEF	protein_coding	11	17788048	18013162	-
KCNC1	protein_coding	11	17734774	17856804	+
TPH1	protein_coding	11	18017564	18042426	-
CSRP3	protein_coding	11	19182030	19210573	-
E2F8	protein_coding	11	19224063	19241620	-
DCTD	protein_coding	4	182890060	182917936	-
SOX15	protein_coding	17	7588178	7590170	-
PIMREG	protein_coding	17	6444415	6451469	+
RPAIN	protein_coding	17	5419641	5432876	+
USP6	protein_coding	17	5116438	5175034	+
SHBG	protein_coding	17	7613946	7633383	+
PLD2	protein_coding	17	4807096	4823434	+
AIPL1	protein_coding	17	6393693	6435199	-
CD68	protein_coding	17	7579467	7582113	+
TXNDC17	protein_coding	17	6640758	6644541	+
ATP1B2	protein_coding	17	7646627	7657768	+
FXR2	protein_coding	17	7591230	7614871	-
KIF1C	protein_coding	17	4997948	5028401	+
MPDU1	protein_coding	17	7583529	7592789	+
PHF20L1	protein_coding	8	132775358	132848807	+
LRRC6	protein_coding	8	132571953	132675617	-
CCNT1	protein_coding	12	48688458	48716998	-
PUS7L	protein_coding	12	43718993	43758817	-
KRI1	protein_coding	19	10553078	10566037	-
ILF3	protein_coding	19	10654261	10692417	+
SLC44A2	protein_coding	19	10602457	10644559	+
AP1M2	protein_coding	19	10572671	10587315	-
CDKN2D	protein_coding	19	10566462	10569059	-
MTUS1	protein_coding	8	17643795	17800917	-
KLK14	protein_coding	19	51077495	51084245	-
SIGLEC9	protein_coding	19	51124908	51136651	+
KLK10	protein_coding	19	51012739	51020175	-
KLK8	protein_coding	19	50996007	51002711	-
NGDN	protein_coding	14	23469688	23509862	+
RIPK3	protein_coding	14	24336021	24340045	-
ADCY4	protein_coding	14	24318349	24335093	-
RAB2B	protein_coding	14	21459020	21476973	-
BCL2L2	protein_coding	14	23298790	23311759	+
AJUBA	protein_coding	14	22971174	22982642	-
DTD2	protein_coding	14	31446036	31457510	-
PARP2	protein_coding	14	20343582	20357905	+
HEATR5A	protein_coding	14	31291791	31420582	-
FOXA1	protein_coding	14	37589984	37596059	-
SNX6	protein_coding	14	34561094	34630183	-
EAPP	protein_coding	14	34515929	34539711	-
EGLN3	protein_coding	14	33924231	34462774	-
MIS18BP1	protein_coding	14	45203190	45253540	-
NRL	protein_coding	14	24080107	24115014	-
RNASE1	protein_coding	14	20801228	20803278	-
NEDD8	protein_coding	14	24216852	24232454	-
DAD1	protein_coding	14	22564905	22589269	-
TEP1	protein_coding	14	20365667	20413429	-
EPB41L4A	protein_coding	5	112142441	112419316	-
CDO1	protein_coding	5	115804733	115816954	-
REEP5	protein_coding	5	112876379	112922539	-
ITFG1	protein_coding	16	47154387	47464149	-
QRICH2	protein_coding	17	76274049	76307998	-
FOXJ1	protein_coding	17	76136333	76141299	-
SEC14L1	protein_coding	17	77086716	77217101	+
RHBDF2	protein_coding	17	76470891	76501790	-
AANAT	protein_coding	17	76453351	76470117	+
ARHGEF6	protein_coding	X	136665547	136782088	-
MAP7D3	protein_coding	X	136213220	136256482	-
FGF13	protein_coding	X	138614731	139222777	-
ASH2L	protein_coding	8	38105242	38144076	+
TTI2	protein_coding	8	33473386	33513601	-
ART1	protein_coding	11	3645128	3664416	+
CHRNA10	protein_coding	11	3665587	3671384	-
CDKN1C	protein_coding	11	2883213	2885773	-
SGO1	protein_coding	3	20160593	20186292	-
TTTY1B	lincRNA	Y	6390431	6411564	+
RPS4Y1	protein_coding	Y	2841486	2932000	+
TTTY1	lincRNA	Y	9753156	9774289	-
VCY1B	protein_coding	Y	14056217	14056958	+
VCY	protein_coding	Y	13985772	13986513	-
CDY2B	protein_coding	Y	17877410	17880220	-
CDH15	protein_coding	16	89171767	89195492	+
KLF16	protein_coding	19	1852399	1863568	-
TMEM8A	protein_coding	16	370773	387113	-
DOHH	protein_coding	19	3490822	3500940	-
MAU2	protein_coding	19	19320681	19358755	+
SHC2	protein_coding	19	416583	460996	-
PLPPR3	protein_coding	19	812488	821977	-
INS-IGF2	protein_coding	11	2132538	2161209	-
ABHD17A	protein_coding	19	1876810	1885547	-
LBP	protein_coding	20	38346356	38377023	+
SYT5	protein_coding	19	55171199	55180441	-
TNNI3	protein_coding	19	55151767	55157773	-
CBFA2T3	protein_coding	16	88874858	88977204	-
GAMT	protein_coding	19	1397026	1401570	-
PUDP	protein_coding	X	7048920	7148190	-
ERMARD	protein_coding	6	169751622	169781584	+
PHF10	protein_coding	6	169703905	169725566	-
PRRG3	protein_coding	X	151695124	151705924	+
GALNT8	protein_coding	12	4720341	4851927	+
KCNA5	protein_coding	12	5043989	5046788	+
CRACR2A	protein_coding	12	3606633	3764819	-
NXNL2	protein_coding	9	88535101	88584274	+
STARD8	protein_coding	X	68647666	68725842	+
FAM155B	protein_coding	X	69505241	69532508	+
GDPD2	protein_coding	X	70423031	70433390	+
SAT1	protein_coding	X	23783173	23786226	+
GNL3L	protein_coding	X	54530211	54561071	+
SH3BP4	protein_coding	2	234951973	235055714	+
MOSPD2	protein_coding	X	14873441	14922327	+
DOCK6	protein_coding	19	11199295	11262481	-
ECSIT	protein_coding	19	11505916	11529174	-
LDLR	protein_coding	19	11089362	11133816	+
ELOF1	protein_coding	19	11551147	11559236	-
TSPAN16	protein_coding	19	11296139	11326996	+
ANGPTL8	protein_coding	19	11237450	11241943	+
PRKCSH	protein_coding	19	11435288	11450968	+
CNN1	protein_coding	19	11538717	11550323	+
CDC16	protein_coding	13	114234887	114272723	+
ZSCAN10	protein_coding	16	3088890	3099317	-
THEM6	protein_coding	8	142727203	142736927	+
NECTIN2	protein_coding	19	44846175	44889228	+
APOE	protein_coding	19	44905754	44909393	+
TOMM40	protein_coding	19	44890569	44903689	+
APOC1	protein_coding	19	44914247	44919349	+
GADD45G	protein_coding	9	89605013	89606555	+
LRCH2	protein_coding	X	115110616	115234072	-
DPP6	protein_coding	7	153887097	154894285	+
XPO7	protein_coding	8	21919671	22006585	+
ACE2	protein_coding	X	15561033	15602148	-
FAM98C	protein_coding	19	38403135	38409088	+
SAFB2	protein_coding	19	5586999	5624046	-
RPL36	protein_coding	19	5674947	5691876	+
ATP8B3	protein_coding	19	1782075	1812276	-
GDF1	protein_coding	19	18868545	18896096	-
NCAN	protein_coding	19	19211973	19252233	+
KIF1A	protein_coding	2	240713764	240820308	-
GTPBP3	protein_coding	19	17334920	17342735	+
PLVAP	protein_coding	19	17351448	17377350	-
BST2	protein_coding	19	17402939	17405648	-
SLC27A1	protein_coding	19	17468769	17506168	+
NSUN5	protein_coding	7	73302517	73308867	-
USHBP1	protein_coding	19	17249176	17282786	-
COLGALT1	protein_coding	19	17555594	17583162	+
DDA1	protein_coding	19	17309518	17323301	+
MRPL34	protein_coding	19	17292609	17306843	+
PGLS	protein_coding	19	17511629	17521288	+
LSM7	protein_coding	19	2321517	2328620	-
TULP4	protein_coding	6	158232236	158511828	+
SNX9	protein_coding	6	157700387	157945077	+
RTN4IP1	protein_coding	6	106571971	106629487	-
QRSL1	protein_coding	6	106629578	106668417	+
C6orf203	protein_coding	6	107028213	107051342	+
RSPH3	protein_coding	6	158972871	159000187	-
MAS1	protein_coding	6	159906690	159916530	+
ACSBG2	protein_coding	19	6135247	6193094	+
MLLT1	protein_coding	19	6210379	6279948	-
FUT5	protein_coding	19	5865826	5870540	-
BMP15	protein_coding	X	50910784	50916607	+
AFDN	protein_coding	6	167826922	167972023	+
ACTN4	protein_coding	19	38647649	38731583	+
STK33	protein_coding	11	8391868	8594289	-
NDUFA10	protein_coding	2	239892450	240025402	-
EPO	protein_coding	7	100720800	100723700	+
ARPC1B	protein_coding	7	99374249	99394814	+
CACNG6	protein_coding	19	53992288	54012669	+
ZSWIM6	protein_coding	5	61332273	61546170	+
FCHO1	protein_coding	19	17747718	17788568	+
UNC13A	protein_coding	19	17601328	17688365	-
MAP1S	protein_coding	19	17719242	17734516	+
KLHDC7B	protein_coding	22	50548033	50551022	+
SCO2	protein_coding	22	50523568	50525606	-
PXDN	protein_coding	2	1631887	1744852	-
SSBP4	protein_coding	19	18418864	18434562	+
GDF15	protein_coding	19	18374731	18389176	+
PGPEP1	protein_coding	19	18340587	18369950	+
IQCN	protein_coding	19	18257097	18274509	-
LSM4	protein_coding	19	18306230	18323274	-
JUND	protein_coding	19	18279760	18281622	-
HRC	protein_coding	19	49151198	49155424	-
TRPM4	protein_coding	19	49157741	49211836	+
OR11H1	protein_coding	22	15528159	15529139	+
SULT4A1	protein_coding	22	43824509	43862503	-
ZNF557	protein_coding	19	7069444	7087968	+
CRB3	protein_coding	19	6463777	6467221	+
OLFM1	protein_coding	9	135075422	135121179	+
CAMSAP1	protein_coding	9	135808487	135907228	-
UBAC1	protein_coding	9	135932969	135961380	-
SAG	protein_coding	2	233307816	233347055	+
ZBTB46	protein_coding	20	63743666	63831244	-
HELZ2	protein_coding	20	63558086	63574239	-
SAMD10	protein_coding	20	63974113	63980008	-
LSP1	protein_coding	11	1852970	1892267	+
TNNT3	protein_coding	11	1919562	1938706	+
TNNI2	protein_coding	11	1838989	1841680	+
H19	processed_transcript	11	1995176	2001470	-
CYP2G1P	transcribed_unprocessed_pseudogene	19	40890826	40900508	+
COL5A1	protein_coding	9	134641774	134844843	+
ATXN10	protein_coding	22	45671798	45845307	+
TUBGCP2	protein_coding	10	133278630	133312337	-
CALY	protein_coding	10	133324072	133336935	-
CYP2E1	protein_coding	10	133520406	133561220	+
PNPLA7	protein_coding	9	137459953	137550534	-
HBZ	protein_coding	16	152687	154503	+
PAK4	protein_coding	19	39125770	39182816	+
MNX1	protein_coding	7	156994051	157010651	-
ZNF337	protein_coding	20	25674215	25696841	-
CEP85	protein_coding	1	26234153	26279038	+
TAF4	protein_coding	20	61953469	62065810	-
GATA5	protein_coding	20	62463497	62475970	-
RBBP8NL	protein_coding	20	62410237	62427533	-
LAMA5	protein_coding	20	62307955	62367312	-
OSBPL2	protein_coding	20	62231922	62296213	+
ADRM1	protein_coding	20	62302093	62308862	+
ASS1	protein_coding	9	130444929	130501274	+
PRDM12	protein_coding	9	130664594	130682981	+
EXOSC2	protein_coding	9	130693721	130704894	+
POMT1	protein_coding	9	131502902	131523806	+
UCK1	protein_coding	9	131523801	131531268	-
FIBCD1	protein_coding	9	130902438	130939286	-
PRRC2B	protein_coding	9	131373636	131500197	+
CHMP2A	protein_coding	19	58551566	58555124	-
UBE2M	protein_coding	19	58555712	58558960	-
TRIM28	protein_coding	19	58544091	58550722	+
METTL26	protein_coding	16	634427	636366	-
YIPF2	protein_coding	19	10922185	10928681	-
ATG4D	protein_coding	19	10543895	10553418	+
EIF2S3	protein_coding	X	24054716	24077971	+
TMEM160	protein_coding	19	47045907	47048630	-
ZC3H4	protein_coding	19	47064187	47113752	-
NPAS1	protein_coding	19	47019820	47045775	+
GMFG	protein_coding	19	39328353	39342372	-
MAP3K10	protein_coding	19	40191744	40215575	+
ARHGEF16	protein_coding	1	3454426	3481113	+
LRRC47	protein_coding	1	3778558	3796504	-
SESN2	protein_coding	1	28259527	28282491	+
SMPDL3B	protein_coding	1	27934993	27959157	+
ATP5IF1	protein_coding	1	28236109	28246906	+
MED18	protein_coding	1	28329002	28335967	+
THEMIS2	protein_coding	1	27872543	27886685	+
CLIP1	protein_coding	12	122271432	122422632	-
CCDC62	protein_coding	12	122774327	122827528	+
HIP1R	protein_coding	12	122834453	122862960	+
ZNF317	protein_coding	19	9140380	9163424	+
PPAN	protein_coding	19	10106289	10111634	+
EIF3G	protein_coding	19	10115017	10119918	-
ANGPTL6	protein_coding	19	10092338	10102796	-
C19orf66	protein_coding	19	10086122	10093252	+
DNMT1	protein_coding	19	10133345	10231286	-
ZNF426	protein_coding	19	9523224	9538645	-
SLC6A8	protein_coding	X	153688099	153696593	+
PNCK	protein_coding	X	153669730	153689010	-
DKC1	protein_coding	X	154762742	154777689	+
PLXNA3	protein_coding	X	154458281	154477779	+
DUSP9	protein_coding	X	153642492	153651326	+
MPP1	protein_coding	X	154778684	154821007	-
ZNF331	protein_coding	19	53520981	53580269	+
ZNF236	protein_coding	18	76822607	76970727	+
SLC7A10	protein_coding	19	33208664	33225850	-
LRP3	protein_coding	19	33177603	33208867	+
C12orf65	protein_coding	12	123232916	123257959	+
NOL11	protein_coding	17	67717833	67744531	+
UBE4B	protein_coding	1	10032832	10181239	+
CASZ1	protein_coding	1	10636604	10796650	-
PKDREJ	protein_coding	22	46255663	46263355	-
HSD17B3	protein_coding	9	96235306	96302152	-
NUTM2F	protein_coding	9	94318196	94328644	-
HABP4	protein_coding	9	96450201	96491336	+
FBP2	protein_coding	9	94558720	94593793	-
SLC35D2	protein_coding	9	96320706	96383710	-
PRRG1	protein_coding	X	37349275	37457295	+
UBA1	protein_coding	X	47190861	47215128	+
RGN	protein_coding	X	47078355	47093314	+
POLN	protein_coding	4	2071918	2242121	-
TXLNGY	transcribed_unprocessed_pseudogene	Y	19567313	19606274	+
TTTY9B	antisense	Y	18581206	18590521	-
PPIL4	protein_coding	6	149504733	149546038	-
ULBP2	protein_coding	6	149942000	149949235	+
AKAP12	protein_coding	6	151239999	151358557	+
SYNE1	protein_coding	6	152121684	152637801	-
ULBP3	protein_coding	6	150063150	150069095	-
LATS1	protein_coding	6	149658153	149718256	-
EPS8L1	protein_coding	19	55072020	55087923	+
LILRB2	protein_coding	19	54273821	54281184	-
AAR2	protein_coding	20	36236459	36270918	+
TTLL9	protein_coding	20	31870702	31944963	+
BPIFA2	protein_coding	20	33161768	33181412	+
RBM39	protein_coding	20	35701347	35742312	-
COX4I2	protein_coding	20	31637888	31645006	+
BPIFA3	protein_coding	20	33217310	33227758	+
ZNF341	protein_coding	20	33731657	33792269	+
GGT7	protein_coding	20	34844720	34872860	-
DEFB118	protein_coding	20	31368618	31373923	+
ACSS2	protein_coding	20	34872146	34927962	+
EDA2R	protein_coding	X	66595637	66639298	-
ARHGEF9	protein_coding	X	63634967	63809274	-
C1QL1	protein_coding	17	44959693	44968071	-
GFAP	protein_coding	17	44903161	44916937	-
PYY	protein_coding	17	43952738	44004469	-
HIGD1B	protein_coding	17	44846353	44850480	+
ATP6V1E1	protein_coding	22	17592136	17628818	-
ZNF227	protein_coding	19	44207547	44237268	+
ZNF428	protein_coding	19	43607219	43619874	-
TEX101	protein_coding	19	43401496	43418597	+
ZNF141	protein_coding	4	337814	384864	+
CCL25	protein_coding	19	8052767	8062650	+
COX4I1	protein_coding	16	85798633	85807044	+
EMC8	protein_coding	16	85771758	85799608	-
GSE1	protein_coding	16	85169525	85676204	+
AC010531.1	protein_coding	16	87302876	87334273	-
GINS2	protein_coding	16	85676198	85690073	-
CHMP1A	protein_coding	16	89644431	89657845	-
SH3BGRL	protein_coding	X	81201943	81298547	+
COX7B	protein_coding	X	77899438	77907373	+
SLC34A1	protein_coding	5	177379235	177398848	+
